timestamp,vehicle_id,X_vehicle_position,Y_vehicle_position,vehicle_speed,vehicle_acceleration,traffic_light_state,front_vehicle_id,lane_id,intersction_id,lanes_leading_1,lanes_leading_2,vehicle_length,Gap,vehicle_arrangement,lane_length,number_of_vehical_on_lane,number_of_places_available_in_lane,num_veh_neighbor_lane,num_veh_neighbor_lane_2,avg_speed_veh_neighbor_lane,avg_acceleration_veh_neighbor_lane,angle_movment,number_of_vehicles_moving_from_1,number_of_vehicles_moving_from_2,start_lane,end_lane
85,Vehaa67f354-5322-4cbc-abd6-e7859836ca69,198.4,-161.79374668102395,0.0,0.0,0,Veh4b68d57b-a9bc-43f3-8007-96f476a82269,E8_0,3,-E10_0,-E22_0,4.7,1.3,5,185.6,13,17.0,12,0,0.0003483349997189372,-0.001302448926004994,180.0,6,0,"(198.4, -192.8)","(198.4, -7.2)"
85,Vehac54df1f-d7cf-4d98-b0d4-b7f3b63d862b,-10.136403032234895,-1.6,10.05,1.5173874733736739,2,Veh044c62db-9560-496b-99f0-7dd036d90b9c,-E24_0,4,-E35_0,E34_0,4.7,1.3,0,81.07,13,0.0,10,8,1.8805441216888075,-0.3634113011740208,90.0,5,4,"(-7.2, -1.6)","(-88.27, -1.6)"
85,Vehac98d02b-e36c-4ebd-9d34-7d004033d17f,201.6,125.7875707133156,0.0,0.0,0,Vehc9dafd4a-3b25-401c-a59b-0d8c54efd1c1,E6_0,1,-E14_0,-E18_0,4.7,1.3,11,185.6,16,14.0,10,8,6.2043661953910245,-0.10883624220932356,0.0,5,4,"(201.6, 192.8)","(201.6, 7.2)"
85,Vehadb8446e-6c67-46dd-b643-246f13b72442,337.7895773294142,-1.6,0.0,0.0,2,Veha1fea65b-ac03-4d1f-ae07-5aeca9544862,E7_0,2,-E18_0,-E22_0,4.7,1.3,9,185.6,13,17.0,8,0,1.6239351737832335,-0.026821755652781665,90.0,4,0,"(392.8, -1.6)","(207.2, -1.6)"
85,Vehadc6eb4c-c3de-456d-8e9d-5f12e1b0f844,161.5140304941302,-201.6,1.32,-0.26697133452735067,2,Vehb9bbfc4a-dc39-4fe1-ab89-14ce93e6d13a,-E21_0,3,-E220_0,E18_0,4.7,1.3,5,81.07,13,0.0,8,13,1.5200311679973314e-05,1.5200311679973314e-05,90.0,4,6,"(192.8, -201.6)","(111.73, -201.6)"
85,Vehb145c8a0-f862-42c1-9ddc-f77083c3ccdf,462.51187703631433,1.6,0.01,-0.0046666195664430785,2,Vehffd87646-dbe4-4d0a-8623-ea4daf3db86e,-E16_0,2,-E29_0,E28_0,4.7,1.3,6,81.07,10,3.0,4,1,1.5443945052772827,-0.5745631891578097,270.0,2,0,"(407.2, 1.6)","(488.27, 1.6)"
85,Vehb30cc009-0e1e-45bb-8561-603dcf4fabe9,367.79481782721814,-1.6,0.0,0.0,2,Veh4500d71c-8f48-4f49-90b9-21cd3f5f709a,E7_0,2,-E18_0,-E22_0,4.7,1.3,4,185.6,13,17.0,8,0,1.6239351737832335,-0.026821755652781665,90.0,4,0,"(392.8, -1.6)","(207.2, -1.6)"
85,Vehb31158f8-ef14-483b-9c0e-caead718dcd3,398.4,32.20520111882651,0.0,0.0,0,Veh52158966-ccac-4d32-9130-e41639a0cc23,-E15_0,2,-E30_0,E29_0,4.7,1.3,4,81.07,14,-1.0,13,10,1.363438974795204,-0.25478476427265234,180.0,6,5,"(398.4, 7.2)","(398.4, 88.27)"
85,Vehb3391897-4360-4337-813a-37357355f926,480.5903285470068,1.6,0.14,-0.05562578387181785,2,Veh5297fb17-e9ae-472d-8f58-bc260034cedf,-E16_0,2,-E29_0,E28_0,4.7,1.3,9,81.07,10,3.0,4,1,1.5443945052772827,-0.5745631891578097,270.0,2,0,"(407.2, 1.6)","(488.27, 1.6)"
85,Vehb3b32563-8df1-42cb-95a1-5dd4938d5061,147.775942371778,-201.6,2.8,-0.6198864071276862,2,Vehd9b662e4-da2a-4920-845a-87130c5b82d0,-E21_0,3,-E220_0,E18_0,4.7,1.3,7,81.07,13,0.0,8,13,1.5200311679973314e-05,1.5200311679973314e-05,90.0,4,6,"(192.8, -201.6)","(111.73, -201.6)"
85,Vehb64cc0ba-732f-4ff6-95f2-e6c144a409cb,198.4,74.21440222564357,0.01,-0.015143655051540084,0,Vehc59116be-4d78-462d-b949-cc54e655c090,-E10_0,0,-E12_0,-E13_0,4.7,1.3,11,185.6,12,18.0,14,13,0.0,-8.216358407731484e-06,180.0,7,6,"(198.4, 7.2)","(198.4, 192.8)"
85,Vehb7ab329a-bedf-49b2-a726-20d9c5d21ef8,201.6,-250.20826968747338,0.0,0.0,0,Vehfcf67dce-f8be-4625-a966-7a06bb420cef,-E19_0,3,-E26_0,E22_0,4.7,1.3,7,81.07,14,-1.0,5,2,0.027571466053773686,-0.054567677921449224,0.0,2,1,"(201.6, -207.2)","(201.6, -288.27)"
85,Vehb7baa138-7cdd-47f1-b599-cccc9b4af712,198.4,-185.79787399704753,0.0,0.0,0,Veh787b1aba-7003-45ee-87d4-846f53086cb2,E8_0,3,-E10_0,-E22_0,4.7,1.3,1,185.6,13,17.0,12,0,0.0003483349997189372,-0.001302448926004994,180.0,6,0,"(198.4, -192.8)","(198.4, -7.2)"
85,Vehb8e0384f-4acf-4cca-b347-bc1b9b122cda,198.4,256.209318865603,0.0,0.0,0,Veh2fcfed1f-6d63-460b-ac9d-bb9a36de4d63,-E13_0,1,-E32_0,E31_0,4.7,1.3,8,81.07,13,0.0,3,7,10.101256123843802,0.29341495089220054,180.0,1,3,"(198.4, 207.2)","(198.4, 288.27)"
